"B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Has a computer!!Without an Internet subscription","Estimate!!Total!!No computer","Margin of Error!!Total!!No computer","id","Geographic Area Name"
"21115","383","18368","482","48","38","16549","500","1771","319","2747","368","0500000US01001","Autauga County, Alabama"
"78622","1183","69635","1314","412","145","61121","1419","8102","743","8987","642","0500000US01003","Baldwin County, Alabama"
"9186","280","6986","236","68","29","5490","274","1428","199","2200","235","0500000US01005","Barbour County, Alabama"
"6840","321","5217","376","5","9","4455","370","757","164","1623","247","0500000US01007","Bibb County, Alabama"
"20600","396","16202","526","185","86","13951","458","2066","330","4398","423","0500000US01009","Blount County, Alabama"
"3609","196","2631","217","24","31","2097","176","510","179","978","209","0500000US01011","Bullock County, Alabama"
"6708","274","4703","281","57","48","4051","283","595","119","2005","233","0500000US01013","Butler County, Alabama"
"45033","683","38124","747","198","107","32484","782","5442","573","6909","482","0500000US01015","Calhoun County, Alabama"
"13516","372","10240","466","76","67","8825","459","1339","242","3276","347","0500000US01017","Chambers County, Alabama"
"10606","370","8495","368","30","28","7216","349","1249","211","2111","246","0500000US01019","Cherokee County, Alabama"
"16751","494","13072","641","78","45","10236","551","2758","365","3679","449","0500000US01021","Chilton County, Alabama"
"5350","241","3962","229","43","35","3110","226","809","174","1388","219","0500000US01023","Choctaw County, Alabama"
"9358","322","6109","322","56","34","4860","303","1193","209","3249","363","0500000US01025","Clarke County, Alabama"
"5236","241","4130","258","16","20","3543","248","571","136","1106","199","0500000US01027","Clay County, Alabama"
"5726","180","4574","216","56","37","3444","221","1074","191","1152","158","0500000US01029","Cleburne County, Alabama"
"19789","339","16922","394","173","67","15093","463","1656","216","2867","232","0500000US01031","Coffee County, Alabama"
"21799","445","17745","542","148","70","14768","569","2829","370","4054","380","0500000US01033","Colbert County, Alabama"
"4574","254","2634","256","28","30","2153","235","453","137","1940","254","0500000US01035","Conecuh County, Alabama"
"4103","243","3085","237","21","16","2586","229","478","123","1018","182","0500000US01037","Coosa County, Alabama"
"15008","381","11491","430","118","62","10217","392","1156","181","3517","294","0500000US01039","Covington County, Alabama"
"5025","193","3562","221","12","17","2974","203","576","98","1463","173","0500000US01041","Crenshaw County, Alabama"
"30730","592","24987","645","238","104","21279","602","3470","385","5743","391","0500000US01043","Cullman County, Alabama"
"18670","402","15756","459","148","77","13329","442","2279","254","2914","323","0500000US01045","Dale County, Alabama"
"16336","360","11723","408","115","68","10105","458","1503","299","4613","376","0500000US01047","Dallas County, Alabama"
"26132","621","20639","702","157","57","17348","713","3134","377","5493","532","0500000US01049","DeKalb County, Alabama"
"29143","638","25249","639","69","45","22748","653","2432","373","3894","433","0500000US01051","Elmore County, Alabama"
"13428","429","8778","501","99","49","7578","479","1101","194","4650","401","0500000US01053","Escambia County, Alabama"
"38777","531","32325","583","154","64","28109","694","4062","381","6452","447","0500000US01055","Etowah County, Alabama"
"6947","236","5408","276","27","21","4745","292","636","139","1539","197","0500000US01057","Fayette County, Alabama"
"11210","295","8026","355","43","29","6598","368","1385","220","3184","333","0500000US01059","Franklin County, Alabama"
"10479","351","8362","383","93","49","6911","378","1358","218","2117","289","0500000US01061","Geneva County, Alabama"
"2955","217","1631","239","2","4","1327","209","302","92","1324","221","0500000US01063","Greene County, Alabama"
"5658","227","3713","231","20","20","3020","209","673","134","1945","258","0500000US01065","Hale County, Alabama"
"6669","252","5402","270","80","47","4712","276","610","151","1267","173","0500000US01067","Henry County, Alabama"
"39253","346","31438","385","419","89","27364","426","3655","238","7815","265","0500000US01069","Houston County, Alabama"
"20626","420","16151","508","100","65","13661","512","2390","302","4475","427","0500000US01071","Jackson County, Alabama"
"260924","1524","224867","1688","688","158","197204","1893","26975","1060","36057","963","0500000US01073","Jefferson County, Alabama"
"5974","265","4583","254","55","35","3725","250","803","200","1391","185","0500000US01075","Lamar County, Alabama"
"38514","545","31102","718","179","82","26084","827","4839","430","7412","526","0500000US01077","Lauderdale County, Alabama"
"12811","345","9740","406","117","80","7521","426","2102","310","3071","263","0500000US01079","Lawrence County, Alabama"
"59373","763","53634","847","201","87","47379","912","6054","626","5739","582","0500000US01081","Lee County, Alabama"
"32126","524","27556","616","187","91","24464","615","2905","345","4570","382","0500000US01083","Limestone County, Alabama"
"4180","158","2769","195","26","20","1984","165","759","173","1411","172","0500000US01085","Lowndes County, Alabama"
"7637","268","5615","322","39","23","4160","286","1416","177","2022","193","0500000US01087","Macon County, Alabama"
"145256","1161","131997","1283","367","132","121167","1470","10463","755","13259","767","0500000US01089","Madison County, Alabama"
"7768","271","5239","320","81","49","4051","302","1107","216","2529","313","0500000US01091","Marengo County, Alabama"
"12212","403","9472","442","67","52","7738","437","1667","264","2740","289","0500000US01093","Marion County, Alabama"
"34896","540","28801","663","41","21","25781","674","2979","324","6095","458","0500000US01095","Marshall County, Alabama"
"155831","1271","128605","1438","1049","261","111079","1511","16477","804","27226","920","0500000US01097","Mobile County, Alabama"
"8149","259","4107","247","62","62","3334","279","711","147","4042","309","0500000US01099","Monroe County, Alabama"
"89835","873","77208","1013","217","95","68644","1081","8347","706","12627","727","0500000US01101","Montgomery County, Alabama"
"45646","672","38314","780","308","110","32943","886","5063","519","7332","586","0500000US01103","Morgan County, Alabama"
"3079","238","1722","237","25","32","1407","238","290","119","1357","257","0500000US01105","Perry County, Alabama"
"7530","262","5487","314","43","28","4649","311","795","167","2043","229","0500000US01107","Pickens County, Alabama"
"11547","553","8006","549","199","118","6801","473","1006","248","3541","393","0500000US01109","Pike County, Alabama"
"8643","314","6878","353","174","96","5891","343","813","187","1765","260","0500000US01111","Randolph County, Alabama"
